"country","sex","age_bands","pr_edu_adv","pr_edu_basic","pr_edu_inter","pr_edu_lt_basic","pr_emp_edu_adv","pr_emp_edu_basic","pr_emp_edu_inter","pr_emp_edu_lt_basic","pr_emp_edu_tot","age_grp_start"
"Afghanistan","Female","Age (10-year bands): 05-15",0,0.406647822781828,0,0.593352177218172,0,0,0,0,0,5
"Afghanistan","Female","Age (10-year bands): 15-24",0.0897190191186915,0.199995003515384,0.116933800147753,0.593352177218172,0.2021,0.1222,0.0977,0.1836,0.156,15
"Afghanistan","Female","Age (10-year bands): 25-34",0.0658093237720995,0.0580667866677725,0.0302102410408265,0.845913648519302,0.3997,0.1419,0.0991,0.2176,0.2117,25
"Afghanistan","Female","Age (10-year bands): 35-44",0.0498370327778177,0.0446245816445471,0.0177779583316406,0.887760427245994,0.6767,0.1638,0.1829,0.236,0.2383,35
"Afghanistan","Female","Age (10-year bands): 45-54",0.0505713087290718,0.0435114388085648,0.0130736460159997,0.892843606446364,0.8753,0.2245,0.2279,0.2005,0.2092,45
"Afghanistan","Female","Age (10-year bands): 55-64",0.0398528510116493,0.03068669527897,0,0.929460453709381,0.7287,0.0834,0.1252,0.1239,0.1252,55
"Afghanistan","Female","Age (10-year bands): 65+",0,0,0,1,0.0311,0.0311,0.0311,0.0313,0.0311,65
"Afghanistan","Male","Age (10-year bands): 05-15",0,0.611029839201726,0,0.388970160798274,0,0,0,0,0,5
"Afghanistan","Male","Age (10-year bands): 15-24",0.0653438162085814,0.331598398262783,0.214087624730361,0.388970160798274,0.3064,0.4344,0.38,0.738,0.4904,15
"Afghanistan","Male","Age (10-year bands): 25-34",0.112695576700809,0.21576227957348,0.138735051697031,0.53280709202868,0.7368,0.8585,0.8341,0.8339,0.8247,25
"Afghanistan","Male","Age (10-year bands): 35-44",0.0759759821927635,0.202918248187008,0.0903133998014417,0.630792369818786,0.961,0.8821,0.9219,0.8586,0.8756,35
"Afghanistan","Male","Age (10-year bands): 45-54",0.0682585730045635,0.201618300347866,0.108482198837067,0.621640927810504,0.9484,0.794,0.8484,0.7669,0.7906,45
"Afghanistan","Male","Age (10-year bands): 55-64",0.0918601040291903,0.164001242139585,0.103092040325174,0.64104661350605,0.8576,0.6091,0.7235,0.5689,0.6077,55
"Afghanistan","Male","Age (10-year bands): 65+",0.0388849467815509,0.142990369994932,0.0805068423720223,0.737617840851495,0.3523,0.3407,0.4021,0.2721,0.2884,65
"Algeria","Female","Age (10-year bands): 05-15",0,0.987341772151899,0,0.0126582278481013,0,0,0,0,0,5
"Algeria","Female","Age (10-year bands): 15-24",0.462025316455696,0.0632911392405063,0.462025316455696,0.0126582278481013,0.251875,0.221853333333333,0.203158333333333,0.327969230769231,0.24308,15
"Algeria","Female","Age (10-year bands): 25-34",0.489010989010989,0.104395604395604,0.370879120879121,0.0357142857142857,0.57786,0.522366666666667,0.5196,0.480084615384615,0.51402,25
