"country","sex","five_year_age_group","Time","age_at_start","n_pop","prev_anxiety","prev_bipolar","prev_depression","Self-harm","country_sex_age","n_anxiety","n_bipolar","n_depression","Pr_in_school","Pr_access_internet","gdp_per_cap_2019_monthly","exp_w_edu_adv","exp_w_edu_basic","exp_w_edu_inter","exp_w_edu_lt_basic"
"Afghanistan","Female","10 to 14",2019,10,517947,0.067011855,0.0032173881,0.0181231669,7.899217238047e-05,"Afghanistan_Female_10",34708.589261685,1666.4365142307,9386.8399263543,0.4822955,0.1144768809,42.2586193226656,92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
"Afghanistan","Female","10 to 14",2019,11,512105,0.067011855,0.0032173881,0.0181231669,7.899217238047e-05,"Afghanistan_Female_11",34317.106004775,1647.6405329505,9280.9643853245,0.4822955,0.1144768809,42.2586193226656,92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
"Afghanistan","Female","10 to 14",2019,12,502639,0.067011855,0.0032173881,0.0181231669,7.899217238047e-05,"Afghanistan_Female_12",33682.771785345,1617.1847371959,9109.4104874491,0.4822955,0.1144768809,42.2586193226656,92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
"Afghanistan","Female","10 to 14",2019,13,490628,0.067011855,0.0032173881,0.0181231669,7.899217238047e-05,"Afghanistan_Female_13",32877.89239494,1578.5406887268,8891.7331298132,0.4822955,0.1144768809,42.2586193226656,92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
"Afghanistan","Female","10 to 14",2019,14,478241,0.067011855,0.0032173881,0.0181231669,7.899217238047e-05,"Afghanistan_Female_14",32047.816547055,1538.6869023321,8667.2414614229,0.4822955,0.1144768809,42.2586193226656,92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
"Afghanistan","Female","15 to 19",2019,15,464998,0.086975676,0.0111163629,0.043813916,0.000344206903601019,"Afghanistan_Female_15",40443.515388648,5169.0865157742,20373.383312168,0.4822955,0.1144768809,42.2586193226656,92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
"Afghanistan","Female","15 to 19",2019,16,451824,0.086975676,0.0111163629,0.043813916,0.000344206903601019,"Afghanistan_Female_16",39297.697833024,5022.6395509296,19796.178782784,0.4822955,0.1144768809,42.2586193226656,92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
"Afghanistan","Female","15 to 19",2019,17,439382,0.086975676,0.0111163629,0.043813916,0.000344206903601019,"Afghanistan_Female_17",38215.546472232,4884.3297637278,19251.046039912,0.4822955,0.1144768809,42.2586193226656,92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
"Afghanistan","Female","15 to 19",2019,18,427167,0.086975676,0.0111163629,0.043813916,0.000344206903601019,"Afghanistan_Female_18",37153.138589892,4748.5433909043,18715.859055972,0.4822955,0.1144768809,42.2586193226656,92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
"Afghanistan","Female","15 to 19",2019,19,414283,0.086975676,0.0111163629,0.043813916,0.000344206903601019,"Afghanistan_Female_19",36032.543980308,4605.3201713007,18151.360562228,0.4822955,0.1144768809,42.2586193226656,92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
