"Location","Sex","AgeGrp","AgeGrpStart","qx","monthly_pr_die","perc_death_suicide_base","perc_death_suicide_upper","perc_death_suicide_lower","Pr_death_suicide_base","Pr_death_not_suicide_base"
"Algeria","Female","45-49",45,0.01277269,0.000214226418795871,0.0123490651310716,0.020845662801618,0.00631647242744685,2.64549599850643e-06,0.000211580922797364
"Algeria","Female","50-54",50,0.0180454,0.000303457345430136,0.00640009434574178,0.00984230015585652,0.00371148157007122,1.94215564066122e-06,0.000301515189789475
"Algeria","Female","55-59",55,0.02656633,0.000448659190424916,0.00357691940573212,0.0054850275144071,0.00206780460542393,1.60481776479094e-06,0.000447054372660125
"Algeria","Female","60-64",60,0.04167471,0.000709215179567679,0.00221522688596222,0.00338494957260076,0.00137931964214368,1.57107253371085e-06,0.000707644107033968
"Algeria","Female","65-69",65,0.06431903,0.00110739812534366,0.00157075136929922,0.00250419136640081,0.000941575824558876,1.73944712174294e-06,0.00110565867822192
"Algeria","Female","70-74",70,0.10798558,0.00190273717300649,0.0010139791440235,0.00146502932430019,0.000642326308975254,1.92933580998681e-06,0.0019008078371965
"Algeria","Female","75-79",75,0.19077748,0.00352180624336784,0.000604108599006513,0.000928144122490156,0.000368090837672855,2.12755343565334e-06,0.00351967868993219
"Algeria","Female","80-84",80,0.32760225,0.0065932555385152,0.000495070812616551,0.000793578501239257,0.000295405182729596,3.26412837724129e-06,0.00658999141013796
"Algeria","Female","85-89",85,0.50626264,0.0116936179842865,0.000518611411162164,0.000859162015259968,0.000309857629338641,6.06444372442207e-06,0.0116875535405621
"Algeria","Male","10-14",10,0.00229736,3.83326482882307e-05,0.0131741335927948,0.0232255759093919,0.00693335500800801,5.04999429514768e-07,3.78276488587159e-05
"Algeria","Male","15-19",15,0.00349426,5.8337951364118e-05,0.0567775902693198,0.0941269059803073,0.0341004831961264,3.3122882997034e-06,5.50256630644146e-05
"Algeria","Male","20-24",20,0.0048387,8.0837472629991e-05,0.0707110522005406,0.119445178624118,0.0403695151031974,5.71610274689907e-06,7.51213698830919e-05
"Algeria","Male","25-29",25,0.00548517,9.16669447156293e-05,0.0697922073484915,0.118209211852461,0.0410774189383223,6.3976384125959e-06,8.52693063030334e-05
"Algeria","Male","30-34",30,0.0059825,0.00010000278016753,0.0560300745210553,0.0979698003209116,0.0309780044271909,5.60316322509939e-06,9.43996169424302e-05
"Algeria","Male","35-39",35,0.00747312,0.000125011913094664,0.0432568106390315,0.0759474593715451,0.0236014434129515,5.40761665235893e-06,0.000119604296442305
"Algeria","Male","40-44",40,0.00990341,0.000165865825345279,0.0306033701459339,0.054281111417794,0.0170527284955831,5.07605324760241e-06,0.000160789772097677
"Algeria","Male","45-49",45,0.01459979,0.000245093555680476,0.0184270031075604,0.0329707211858258,0.0102713295403017,4.51633971216715e-06,0.000240577215968308
"Algeria","Male","50-54",50,0.02241365,0.000377739528923615,0.0112434450069632,0.0196145303196789,0.00663441082520342,4.24709362040884e-06,0.000373492435303206
"Algeria","Male","55-59",55,0.03458491,0.000586446723715439,0.00664213831545116,0.01093741565735,0.00397416364133992,3.89526025356112e-06,0.000582551463461878
"Algeria","Male","60-64",60,0.05504639,0.000943212272737415,0.00414317446491928,0.0069034243883458,0.00253189441269631,3.90789300340413e-06,0.000939304379734011
"Algeria","Male","65-69",65,0.08275858,0.0014387068981413,0.00264880520059307,0.00420568608246902,0.00158053212486739,3.81085431392578e-06,0.00143489604382737
"Algeria","Male","70-74",70,0.13265417,0.00236914747190653,0.00183782749719367,0.00304123527177084,0.00110501591572794,4.35408436877669e-06,0.00236479338753775
"Algeria","Male","75-79",75,0.21687377,0.00406606744959792,0.0012151588523252,0.00187851998483342,0.000750084825985914,4.94091785553025e-06,0.00406112653174239
"Algeria","Male","80-84",80,0.34451815,0.00701502345884986,0.00105747070473489,0.00163392003180148,0.000650083825492649,7.41818180076172e-06,0.00700760527704909
"Algeria","Male","85-89",85,0.50255707,0.0115704488770009,0.000892505150609535,0.00133812174352181,0.000540737387618941,1.03266852175876e-05,0.0115601221917833
"Argentina","Female","10-14",10,0.00104428,1.74136090523858e-05,0.0674181982309777,0.0912818211629507,0.0473884903985754,1.17399414701049e-06,1.62396149053753e-05
"Argentina","Female","15-19",15,0.00195122,3.25515720134284e-05,0.16737918051644,0.208328897088702,0.132093230250465,5.44845544812953e-06,2.71031165652989e-05
"Argentina","Female","20-24",20,0.00215093,3.5886798926521e-05,0.124280411500689,0.152157923107576,0.0984490379552933,4.46002613803052e-06,3.14267727884905e-05
"Argentina","Female","25-29",25,0.00252153,4.20776882251728e-05,0.0912376745532358,0.115275389186936,0.0708218819860042,3.83907042424083e-06,3.82386178009319e-05
"Argentina","Female","30-34",30,0.00356192,5.94695439679604e-05,0.0631507798559405,0.0784262287475473,0.0497338477103048,3.75554807925384e-06,5.57139958887066e-05
"Argentina","Female","35-39",35,0.00493427,8.24379968669131e-05,0.043732236389545,0.0538065120481489,0.0349276690416649,3.60519796646442e-06,7.88327989004487e-05
"Argentina","Female","40-44",40,0.00751871,0.00012577738909203,0.030913594706648,0.0391420229378176,0.0243386555663839,3.88823122965138e-06,0.000121889157862379
"Argentina","Female","45-49",45,0.01250362,0.00020968548019884,0.0221763866339802,0.0274480108810178,0.0174356299727831,4.65006628042127e-06,0.000205035413918419
"Argentina","Female","50-54",50,0.01881574,0.000316533364543958,0.0145295857046695,0.0183903890810221,0.0114461491088089,4.59909864852884e-06,0.000311934265895429
"Argentina","Female","55-59",55,0.02899034,0.000490194186112625,0.0102520433064419,0.0129111486357897,0.00804821294594134,5.02549202459267e-06,0.000485168694088032
"Argentina","Female","60-64",60,0.04289647,0.000730461608966393,0.00600935786113187,0.00764691862580773,0.00462070523520505,4.38960521209723e-06,0.000726072003754296
"Argentina","Female","65-69",65,0.06421603,0.00110556558531449,0.00388439466086395,0.00492341848888211,0.00299054874147102,4.29445305683054e-06,0.00110127113225766
"Argentina","Female","70-74",70,0.09884648,0.0017331571360566,0.00236366330909281,0.00301623050457619,0.00176371594134835,4.09659993138935e-06,0.00172906053612521
"Argentina","Female","75-79",75,0.16246381,0.00295048547499344,0.00155823913553212,0.00204345316114363,0.00118249346893606,4.59756193595386e-06,0.00294588791305748
"Argentina","Female","80-84",80,0.27514242,0.0053486461951352,0.000909992191473749,0.00117226719931382,0.000708017887678613,4.86722627252881e-06,0.00534377896886267
"Argentina","Female","85-89",85,0.43559597,0.00948778620276691,0.000549786457844296,0.000696152926002881,0.000417544595112545,5.2162563692032e-06,0.00948256994639771
"Argentina","Male","10-14",10,0.00133683,2.2295157365626e-05,0.0644032106244936,0.0914550027516103,0.042887123284813,1.43587971572464e-06,2.08592776499014e-05
"Argentina","Male","15-19",15,0.00541846,9.05491184970408e-05,0.219071655249546,0.269459917365351,0.173208760321381,1.9836745270534e-05,7.07123732265068e-05
"Argentina","Male","20-24",20,0.00798798,0.0001336586474735,0.224677524344776,0.272087918765313,0.184100880945931,3.00300940216172e-05,0.000103628553451883
"Argentina","Male","25-29",25,0.00772341,0.000129214817645829,0.188256329736214,0.228197856573727,0.153400623485146,2.43255073175378e-05,0.000104889310328291
"Argentina","Male","30-34",30,0.00809584,0.000135470644153757,0.151760372206854,0.184437110794728,0.124091265660954,2.05590753798765e-05,0.00011491156877388
"Argentina","Male","35-39",35,0.0092136,0.000154259896433917,0.114106369355632,0.13844467713989,0.0927014953765498,1.76020367192501e-05,0.000136657859714667
"Argentina","Male","40-44",40,0.01246884,0.000209098607076852,0.0774791064005653,0.0955677217890775,0.0613304133847374,1.62007732259174e-05,0.000192897833850935
"Argentina","Male","45-49",45,0.01919113,0.000322909023709128,0.0487922622311414,0.0614350105196054,0.0383967462490064,1.57554617616176e-05,0.000307153561947511
"Argentina","Male","50-54",50,0.03251643,0.000550795525331327,0.0296596460859178,0.0362897307067917,0.0230976083415004,1.63364003470343e-05,0.000534459124984292
"Argentina","Male","55-59",55,0.05580581,0.000956599237721067,0.0195083994309724,0.0241123397777482,0.0154901521280037,1.86617200248263e-05,0.000937937517696241
"Argentina","Male","60-64",60,0.08499111,0.00147926310859225,0.0135459143391627,0.0167317375381467,0.0107098205608741,2.00379713540742e-05,0.00145922513723818
"Argentina","Male","65-69",65,0.12976781,0.0023139057479663,0.00979096762387807,0.0120334822188327,0.00788921076392687,2.26553762630435e-05,0.00229125037170326
"Argentina","Male","70-74",70,0.18712956,0.00344710408998394,0.00671521519726465,0.00834876124232279,0.00540128098762726,2.31480457716133e-05,0.00342395604421233
"Argentina","Male","75-79",75,0.27403962,0.00532344396092588,0.00578542962527209,0.00725691866599573,0.00457543460369653,3.07984104000164e-05,0.00529264555052586
"Argentina","Male","80-84",80,0.4017,0.00852450820963335,0.00467160642833181,0.00587198544271211,0.0037199761042409,3.98231473504905e-05,0.00848468506228286
"Argentina","Male","85-89",85,0.55624862,0.0134502399673759,0.00374704912275026,0.00478711301890049,0.00290792171312387,5.03987098705365e-05,0.0133998412575054
"Bangladesh","Female","10-14",10,0.002972,4.9605855620416e-05,0.012695835514405,0.0220122152134445,0.00697851863239933,6.29787783508122e-07,4.89760678369079e-05
"Bangladesh","Female","15-19",15,0.004978,8.31703997374866e-05,0.067312320946587,0.106769102627516,0.0393971892760115,5.59839264038564e-06,7.7572007097101e-05
"Bangladesh","Female","20-24",20,0.004404,7.35593972840398e-05,0.0457617419302171,0.0688146228900301,0.028030287815635,3.36620615505454e-06,7.01931911289853e-05
"Bangladesh","Female","25-29",25,0.004843,8.0909482087721e-05,0.0358549268129055,0.0551798015270778,0.0221269346945464,2.90100355872532e-06,7.80084785289956e-05
"Bangladesh","Female","30-34",30,0.005677,9.48817553096948e-05,0.0238972646083557,0.0358340594060941,0.0153994812138048,2.26741441314104e-06,9.26143408965537e-05
"Bangladesh","Female","35-39",35,0.007557,0.000126420321618914,0.0210422346224298,0.0304966462888254,0.0134652825901502,2.66016606854822e-06,0.000123760155550366
"Bangladesh","Female","40-44",40,0.010996,0.000184264735804796,0.0144311483384242,0.0210660999061933,0.00954639969582798,2.65915173593954e-06,0.000181605584068856
"Bangladesh","Female","45-49",45,0.016509,0.000277408051706507,0.00984301707111532,0.0145652296957102,0.00660180426142698,2.73053218861199e-06,0.000274677519517895
"Bangladesh","Female","50-54",50,0.025954,0.000438183111872048,0.00501353710909462,0.00743269263869482,0.00325678481727218,2.19684729194907e-06,0.000435986264580099
"Bangladesh","Female","55-59",55,0.041443,0.000705188743227669,0.00270270886209274,0.00379521792883743,0.00183230657818112,1.90591986576946e-06,0.0007032828233619
"Bangladesh","Female","60-64",60,0.069749,0.00120428820850094,0.00169870507664042,0.00250710577514108,0.00112459516755101,2.04573049351874e-06,0.00120224247800742
"Bangladesh","Female","65-69",65,0.103144,0.00181268784208377,0.00122067446534746,0.00180664732038731,0.000781319754426981,2.21270176247746e-06,0.00181047514032129
"Bangladesh","Female","70-74",70,0.169803,0.00309673281686063,0.000755953970758538,0.00110232418926161,0.000495422483109626,2.34098746928406e-06,0.00309439182939134
"Bangladesh","Female","75-79",75,0.229954,0.0043456141356929,0.000594890874339886,0.000873536179584475,0.000391303508645972,2.58516619272612e-06,0.00434302896950017
"Bangladesh","Female","80-84",80,0.338327,0.00685942935494632,0.000450221620222282,0.000695718414219729,0.000271011853216402,3.08826339798422e-06,0.00685634109154834
"Bangladesh","Female","85-89",85,0.456561,0.0101124850490033,0.000362262520266979,0.000552784458702289,0.000218686439076216,3.66337432001408e-06,0.0101088216746833
"Bangladesh","Male","10-14",10,0.003379,5.6410437425547e-05,0.0466948236388949,0.0760685523966967,0.025965464758126,2.63407542697883e-06,5.37763619985681e-05
"Bangladesh","Male","15-19",15,0.005144,8.59509045945117e-05,0.0938041888144745,0.149207662706853,0.0581524947284032,8.06255488335846e-06,7.78883497111532e-05
"Bangladesh","Male","20-24",20,0.005967,9.97429200353395e-05,0.104368489877635,0.163570922207489,0.068845353026726,1.04100179400741e-05,8.93329020952654e-05
"Bangladesh","Male","25-29",25,0.00512,8.55488756820177e-05,0.101673348273608,0.149225778498748,0.0700178976983246,8.69804063163338e-06,7.68508350503844e-05
"Bangladesh","Male","30-34",30,0.006801,0.000113730735422646,0.0751327895000556,0.114763599622475,0.0508948554028643,8.54490740419616e-06,0.00010518582801845
"Bangladesh","Male","35-39",35,0.009417,0.000157681238533658,0.0553752185138143,0.0807638925189305,0.0374477561029761,8.73163303933019e-06,0.000148949605494328
"Bangladesh","Male","40-44",40,0.01392,0.000233602573472269,0.0404486347875152,0.0574717202363688,0.0256792842096823,9.44890517980349e-06,0.000224153668292466
"Bangladesh","Male","45-49",45,0.022197,0.000374047705544389,0.0286426247716047,0.0409735269571998,0.0175332442583665,1.07137080765876e-05,0.000363333997467802
"Bangladesh","Male","50-54",50,0.037305,0.000633443222373353,0.0147893723334441,0.0210496223549387,0.0101281210837973,9.36822766777614e-06,0.000624074994705577
"Bangladesh","Male","55-59",55,0.057951,0.000994471664531926,0.0100533695896182,0.0145648279114696,0.00677495471384247,9.99779118994221e-06,0.000984473873341984
"Bangladesh","Male","60-64",60,0.09508,0.00166376003053859,0.00622403284004997,0.00900471083899423,0.0041335831990165,1.03552970680347e-05,0.00165340473347055
"Bangladesh","Male","65-69",65,0.136197,0.00243720094857092,0.00475034661126068,0.0068539289318311,0.00322574430839999,1.15775492670052e-05,0.00242562339930391
"Bangladesh","Male","70-74",70,0.219789,0.00412797112495367,0.00315105934819778,0.00458320480634769,0.00207915545227895,1.30074820023758e-05,0.00411496364295129
"Bangladesh","Male","75-79",75,0.298517,0.00589188459301593,0.00301018793587239,0.00458191835089286,0.00194833918600938,1.77356799214489e-05,0.00587414891309448
"Bangladesh","Male","80-84",80,0.423915,0.00914955341710277,0.00262794645497632,0.00437803403113362,0.00165264883458948,2.40445364670917e-05,0.00912550888063568
"Bangladesh","Male","85-89",85,0.554395,0.0133816977204109,0.0021896825244588,0.00370594420910126,0.00140219102354758,2.93016696459738e-05,0.0133523960507649
"Brazil","Female","10-14",10,0.00134909,2.24997608967437e-05,0.0331233438073036,0.0382146938121476,0.0287457191913324,7.45267315764965e-07,2.17544935809787e-05
"Brazil","Female","15-19",15,0.00224763,3.75019586438263e-05,0.0640706378852956,0.0703437933084694,0.0585734700640244,2.40277441225793e-06,3.50991842315684e-05
"Brazil","Female","20-24",20,0.00289593,4.83343538306702e-05,0.0488708261364994,0.0555545301432729,0.0446714111206064,2.36213980247873e-06,4.59722140281915e-05
"Brazil","Female","25-29",25,0.00324493,5.41686361994476e-05,0.0402114947058647,0.0448241829984396,0.036434454703107,2.178201827758e-06,5.19904343716896e-05
"Brazil","Female","30-34",30,0.00463984,7.7507620622197e-05,0.0336515260003816,0.0373163348303634,0.0310682142980149,2.60824971059557e-06,7.48993709116014e-05
"Brazil","Female","35-39",35,0.00657953,0.000110015123252261,0.0258447581081824,0.0288693667947944,0.0237054035663355,2.84331424869654e-06,0.000107171809003564
"Brazil","Female","40-44",40,0.00930934,0.000155870229723187,0.0183313383579341,0.0205558095569962,0.0167754258026915,2.85730992098466e-06,0.000153012919802203
"Brazil","Female","45-49",45,0.01474794,0.000247598876826127,0.0132039622032732,0.0147843381364804,0.0121363422547739,3.26928621118507e-06,0.000244329590614942
"Brazil","Female","50-54",50,0.02152965,0.000362680783534408,0.00938619479558632,0.010549156960678,0.00859390108238472,3.40419248286983e-06,0.000359276591051538
"Brazil","Female","55-59",55,0.03099356,0.000524596036134417,0.00561027695806971,0.00642616459299891,0.00505782345340911,2.94312905381963e-06,0.000521652907080597
"Brazil","Female","60-64",60,0.04852245,0.000828642933148327,0.0034294850250478,0.00395363699678793,0.00309910852694349,2.84181853034387e-06,0.000825801114617983
"Brazil","Female","65-69",65,0.07220767,0.00124834273059227,0.00231141277745761,0.00260196395598926,0.0021028894537469,2.88543533813728e-06,0.00124545729525413
"Brazil","Female","70-74",70,0.10957593,0.00193242124173032,0.00144701217193711,0.00163330175975513,0.00130131167396492,2.7962370580936e-06,0.00192962500467223
"Brazil","Female","75-79",75,0.17017714,0.003104222285363,0.000873412727826525,0.000974447092388604,0.00076749734968135,2.71126725403879e-06,0.00310151101810896
"Brazil","Female","80-84",80,0.25644439,0.00492635419997756,0.000553183894044151,0.000622707813768895,0.000467459827222167,2.72517979978434e-06,0.00492362902017777
"Brazil","Female","85-89",85,0.36941487,0.0076556635276257,0.000379406892046324,0.000428483287553419,0.00030487145234478,2.90461150556886e-06,0.00765275891612013
"Brazil","Male","10-14",10,0.00174847,2.91662472865495e-05,0.0238397039990527,0.0270065624609894,0.0208634930098755,6.95314702074513e-07,2.8470932584475e-05
"Brazil","Male","15-19",15,0.00847005,0.000141758696637351,0.0421048447708933,0.0462922228534878,0.0385320149627659,5.96872791683981e-06,0.000135789968720511
"Brazil","Male","20-24",20,0.01341218,0.000225023606513663,0.0455174947946679,0.0516991637294404,0.0416122842944413,1.02425108381631e-05,0.0002147810956755
"Brazil","Male","25-29",25,0.01242223,0.000208312147968348,0.0536627213443941,0.0591827987716756,0.0490491586691357,1.11785967490776e-05,0.00019713355121927
"Brazil","Male","30-34",30,0.01351005,0.000226676656680858,0.0521187182194136,0.0573896505060858,0.047451952634301,1.18140967964684e-05,0.000214862559884389
"Brazil","Male","35-39",35,0.01641846,0.000275874216508321,0.0454992194197607,0.0507116854065917,0.041664312067744,1.25520615091667e-05,0.000263322154999154
"Brazil","Male","40-44",40,0.02034967,0.000342600917404901,0.0360509141946436,0.0406495627840401,0.0328679883752173,1.23510762763703e-05,0.00033024984112853
"Brazil","Male","45-49",45,0.02812003,0.000475269853506322,0.026783430625843,0.0302616323768027,0.0245763612164271,1.27293571499412e-05,0.00046254049635638
"Brazil","Male","50-54",50,0.03973682,0.000675569804192699,0.0186721643757989,0.0209487920506701,0.0172546381613248,1.26143504312124e-05,0.000662955453761487
"Brazil","Male","55-59",55,0.05583133,0.000957049285085554,0.013454294628061,0.0151929579663452,0.0124806384921233,1.28764230551162e-05,0.000944172862030438
"Brazil","Male","60-64",60,0.08092441,0.00140545987422935,0.00881747500287767,0.00986574007952624,0.00813187485504371,1.23926073085649e-05,0.00139306726692079
"Brazil","Male","65-69",65,0.12029093,0.00213378737284631,0.00655580425919635,0.00729820228687588,0.006062289413435,1.39886923471252e-05,0.00211979868049918
"Brazil","Male","70-74",70,0.16453929,0.00299171517087604,0.0047740785681138,0.00534675431736884,0.00437882092580938,1.42826832791802e-05,0.00297743248759686
"Brazil","Male","75-79",75,0.24118345,0.00458935707560892,0.00341854931610593,0.00378440168761629,0.0031093533944334,1.56889434921888e-05,0.00457366813211674
"Brazil","Male","80-84",80,0.34199708,0.00695149099289138,0.00247283921617556,0.00273063013873257,0.00215306093701365,1.7189919538113e-05,0.00693430107335327
"Brazil","Male","85-89",85,0.46324193,0.0103165457097466,0.00184928632097898,0.00208718944553864,0.00155955021052774,1.90782468607887e-05,0.0102974674628858
"China","Female","10-14",10,0.00094955,1.58332264563743e-05,0.0437126295331024,0.0483061555544517,0.0394075733366583,6.92111962401206e-07,1.51411144939731e-05
"China","Female","15-19",15,0.00139907,2.3333887964494e-05,0.106848242705896,0.115581595696198,0.0987102543105444,2.49318492450245e-06,2.08407030399915e-05
"China","Female","20-24",20,0.00184837,3.08341970116643e-05,0.114663350485966,0.124814478285192,0.106900126551087,3.53555233890178e-06,2.72986446727626e-05
"China","Female","25-29",25,0.00234736,3.91678890596658e-05,0.10091754461492,0.109446589720027,0.0942915210551102,3.95272719165108e-06,3.52151618680148e-05
"China","Female","30-34",30,0.00309541,5.16688432998791e-05,0.0776341303508896,0.0839752256013659,0.0722700633701157,4.0112657158225e-06,4.76575775840566e-05
"China","Female","35-39",35,0.00394262,6.58380428341099e-05,0.0596084833015511,0.0639142477971293,0.0553522576924978,3.92450587688384e-06,6.1913536957226e-05
"China","Female","40-44",40,0.00578423,9.66790504087767e-05,0.0426673482076011,0.0458493596098007,0.0393135714030944,4.12503870817149e-06,9.25540117006052e-05
"China","Female","45-49",45,0.00826802,0.000138363587783408,0.0333966735683837,0.0359581933034009,0.0305429177744375,4.62088357495287e-06,0.000133742704208455
"China","Female","50-54",50,0.01341704,0.000225105689393268,0.0259930939557344,0.0281053373612935,0.0237353587362449,5.85119333436958e-06,0.000219254496058898
"China","Female","55-59",55,0.02251743,0.00037950827656974,0.0205667600050714,0.0224238339516642,0.018526019641669,7.80525564414809e-06,0.000371703020925592
"China","Female","60-64",60,0.04218019,0.000718002254143979,0.0150789221463445,0.0165104958341493,0.0135179483985865,1.08267000911369e-05,0.000707175554052842
"China","Female","65-69",65,0.07527436,0.00130345294748679,0.0112089021076182,0.0125095938014809,0.00999428918919634,1.46102764902659e-05,0.00128884267099653
"China","Female","70-74",70,0.13533251,0.0024205698609564,0.00896588082643807,0.0101092546208462,0.00784542129433176,2.17025409054029e-05,0.002398867320051
"China","Female","75-79",75,0.21989325,0.00413018903951101,0.0069834002543297,0.00789478680708411,0.00607983154864182,2.88427631889509e-05,0.00410134627632206
"China","Female","80-84",80,0.34373586,0.00699528360991497,0.00494943038279542,0.00572915569577307,0.00409299335288105,3.4622669235184e-05,0.00696066094067979
"China","Female","85-89",85,0.49459904,0.0113089539529475,0.00373498956603284,0.0043254692657408,0.00304445921443609,4.22388250170048e-05,0.0112667151279305
